State,Crop,Season,Year,Area,Production,Yield
Gujarat,Maize,Kharif,2003-04,484400.0,831900.0,1.7173823286540049
Gujarat,Maize,Kharif,2004-05,459500.0,412500.0,0.8977149075081611
Gujarat,Maize,Kharif,2005-06,456900.0,722400.0,1.5810899540380827
Gujarat,Maize,Kharif,2006-07,447700.0,201700.0,0.45052490507035964
Gujarat,Maize,Kharif,2007-08,424000.0,583100.0,1.3752358490566037
Gujarat,Maize,Kharif,2008-09,418900.0,602600.0,1.4385294819766055
Gujarat,Maize,Kharif,2009-10,411700.0,396600.0,0.9633228078698081
Gujarat,Maize,Kharif,2010-11,422500.0,692100.0,1.6381065088757396
Gujarat,Maize,Kharif,2011-12,387000.0,539400.0,1.3937984496124032
Gujarat,Maize,Kharif,2012-13,373200.0,625000.0,1.67470525187567
Gujarat,Maize,Kharif,2013-14,333135.0,421915.0,1.266498566647155
Gujarat,Maize,Kharif,2014-15,308788.0,387805.0,1.2558940114253145
Gujarat,Maize,Kharif,2015-16,297588.0,393828.0,1.3234001371023025
Gujarat,Maize,Kharif,2016-17,321379.0,539081.0,1.677399581179853
Gujarat,Maize,Kharif,2017-18,302790.0,469550.0,1.5507447405792794
Gujarat,Maize,Kharif,2018-19,310536.0,549680.0,1.770100729062009
Gujarat,Maize,Kharif,2019-20,300503.0,449952.0,1.497329477575931
Gujarat,Maize,Rabi,2010-11,110000.0,220000.0,2.0
Gujarat,Maize,Rabi,2011-12,106100.0,199900.0,1.884071630537229
Gujarat,Maize,Rabi,2012-13,80600.0,157100.0,1.9491315136476426
Gujarat,Maize,Rabi,2013-14,92747.0,196862.0,2.122570002264224
Gujarat,Maize,Rabi,2014-15,79664.0,169660.0,2.1296947178148224
Gujarat,Maize,Rabi,2015-16,88311.0,201807.0,2.2851853110031595
Gujarat,Maize,Rabi,2016-17,117169.0,277521.0,2.3685531155851804
Gujarat,Maize,Rabi,2017-18,92558.0,235342.0,2.5426435316234146
Gujarat,Maize,Rabi,2018-19,95598.0,245862.0,2.5718320466955378
Gujarat,Maize,Rabi,2019-20,132342.0,333579.0,2.5205830348642153
Gujarat,Maize,Summer,2010-11,33000.0,66000.0,2.0
Gujarat,Maize,Summer,2011-12,22800.0,47300.0,2.074561403508772
Gujarat,Maize,Summer,2012-13,4000.0,8300.0,2.075
Gujarat,Maize,Summer,2013-14,6541.0,13374.0,2.044641492126586
Gujarat,Maize,Summer,2014-15,5890.0,11341.0,1.9254668930390493
Gujarat,Maize,Summer,2015-16,6022.0,12876.0,2.1381600797077382
Gujarat,Maize,Summer,2016-17,11311.0,24059.0,2.12704446998497
Gujarat,Maize,Summer,2017-18,4636.0,9848.0,2.1242450388265746
Gujarat,Maize,Summer,2018-19,3090.0,6356.0,2.056957928802589
Gujarat,Maize,Summer,2019-20,5516.0,12676.0,2.2980420594633792
Gujarat,Maize,Whole Year,1997-98,399800.0,659000.0,1.6483241620810405
Gujarat,Moong(Green Gram),Kharif,1997-98,178800.0,101300.0,0.5665548098434005
Gujarat,Moong(Green Gram),Kharif,1998-99,174200.0,69100.0,0.39667049368541907
Gujarat,Moong(Green Gram),Kharif,1999-00,107500.0,26100.0,0.2427906976744186
Gujarat,Moong(Green Gram),Kharif,2000-01,149500.0,38200.0,0.2555183946488294
Gujarat,Moong(Green Gram),Kharif,2001-02,168400.0,76700.0,0.45546318289786225
Gujarat,Moong(Green Gram),Kharif,2002-03,140200.0,32300.0,0.2303851640513552
Gujarat,Moong(Green Gram),Kharif,2003-04,206800.0,121200.0,0.586073500967118
Gujarat,Moong(Green Gram),Kharif,2004-05,173100.0,71700.0,0.41421143847487
Gujarat,Moong(Green Gram),Kharif,2005-06,153700.0,92400.0,0.6011711125569291
Gujarat,Moong(Green Gram),Kharif,2006-07,193200.0,67000.0,0.34679089026915116
Gujarat,Moong(Green Gram),Kharif,2007-08,209400.0,114400.0,0.5463228271251194
Gujarat,Moong(Green Gram),Kharif,2008-09,162000.0,70100.0,0.4327160493827161
Gujarat,Moong(Green Gram),Kharif,2009-10,165500.0,59700.0,0.3607250755287009
Gujarat,Moong(Green Gram),Kharif,2010-11,177400.0,89200.0,0.5028184892897407
Gujarat,Moong(Green Gram),Kharif,2011-12,200000.0,87700.0,0.4385
Gujarat,Moong(Green Gram),Kharif,2012-13,91600.0,39900.0,0.435589519650655
Gujarat,Moong(Green Gram),Kharif,2013-14,127421.0,67612.0,0.5306189717550482
Gujarat,Moong(Green Gram),Kharif,2014-15,82314.0,40681.0,0.49421726559273027
Gujarat,Moong(Green Gram),Kharif,2015-16,104232.0,52680.0,0.5054110062169007
Gujarat,Moong(Green Gram),Kharif,2016-17,153577.0,69704.0,0.45387004564485567
Gujarat,Moong(Green Gram),Kharif,2017-18,125347.0,71444.0,0.5699697639353155
Gujarat,Moong(Green Gram),Kharif,2018-19,63056.0,21073.0,0.33419500126871354
Gujarat,Moong(Green Gram),Kharif,2019-20,91512.0,58758.0,0.6420797272488854
Gujarat,Moong(Green Gram),Summer,2010-11,71000.0,39000.0,0.5492957746478874
Gujarat,Moong(Green Gram),Summer,2011-12,65500.0,33000.0,0.5038167938931297
Gujarat,Moong(Green Gram),Summer,2012-13,23600.0,11900.0,0.5042372881355932
Gujarat,Moong(Green Gram),Summer,2013-14,31505.0,16604.0,0.5270274559593715
Gujarat,Moong(Green Gram),Summer,2014-15,35984.0,18252.0,0.5072254335260116
Gujarat,Moong(Green Gram),Summer,2015-16,25225.0,13048.0,0.5172646184340932
Gujarat,Moong(Green Gram),Summer,2016-17,29165.0,26435.0,0.9063946511229213
Gujarat,Moong(Green Gram),Summer,2017-18,26721.0,26031.0,0.9741776131132817
Gujarat,Moong(Green Gram),Summer,2018-19,23775.0,28084.0,1.1812407991587803
Gujarat,Moong(Green Gram),Summer,2019-20,43414.0,45370.0,1.0450545906850324
Gujarat,Moth,Kharif,1997-98,48500.0,24100.0,0.49690721649484537
Gujarat,Moth,Kharif,1998-99,42900.0,13900.0,0.32400932400932403
Gujarat,Moth,Kharif,1999-00,25900.0,1600.0,0.06177606177606178
Gujarat,Moth,Kharif,2000-01,43800.0,3600.0,0.0821917808219178
Gujarat,Moth,Kharif,2001-02,43200.0,14500.0,0.33564814814814814
Gujarat,Moth,Kharif,2002-03,37900.0,8800.0,0.23218997361477572
Gujarat,Moth,Kharif,2003-04,47200.0,27100.0,0.5741525423728814
Gujarat,Moth,Kharif,2004-05,41000.0,14700.0,0.35853658536585364
Gujarat,Moth,Kharif,2005-06,46100.0,23800.0,0.5162689804772235
Gujarat,Moth,Kharif,2006-07,44100.0,13500.0,0.30612244897959184
Gujarat,Moth,Kharif,2007-08,49700.0,28900.0,0.5814889336016097
Gujarat,Moth,Kharif,2008-09,47000.0,10900.0,0.23191489361702128
Gujarat,Moth,Kharif,2009-10,22500.0,5800.0,0.2577777777777778
Gujarat,Moth,Kharif,2010-11,22400.0,12600.0,0.5625
Gujarat,Moth,Kharif,2011-12,45700.0,22700.0,0.49671772428884026
Gujarat,Moth,Kharif,2012-13,14100.0,5400.0,0.3829787234042553
Gujarat,Moth,Kharif,2013-14,30887.0,14963.0,0.4844432932949137
Gujarat,Moth,Kharif,2014-15,10170.0,4389.0,0.43156342182890856
Gujarat,Moth,Kharif,2015-16,18716.0,8913.0,0.4762235520410344
Gujarat,Moth,Kharif,2016-17,32478.0,15229.0,0.46890202598682185
Gujarat,Moth,Kharif,2017-18,27250.0,17764.0,0.6518899082568808
Gujarat,Moth,Kharif,2018-19,12126.0,997.0,0.0822200230908791
Gujarat,Moth,Kharif,2019-20,11559.0,5336.46,0.4616714248637425
Gujarat,Oilseeds total,Whole Year,1998-99,2902856.0,3845031.0,1.3245682872316091
Gujarat,Onion,Rabi,2008-09,54400.0,1502800.0,27.625
Gujarat,Onion,Rabi,2009-10,38500.0,1051400.0,27.30909090909091
Gujarat,Onion,Rabi,2011-12,63600.0,1860500.0,29.25314465408805
Gujarat,Onion,Rabi,2012-13,14500.0,354200.0,24.427586206896553
Gujarat,Onion,Rabi,2013-14,68688.0,2095709.0,30.510554973212205
Gujarat,Onion,Rabi,2014-15,38809.0,1081939.0,27.87855909711665
Gujarat,Onion,Rabi,2015-16,52885.0,1424267.0,26.93139831710315
Gujarat,Onion,Rabi,2016-17,42408.0,1104672.0,26.048670062252405
Gujarat,Onion,Rabi,2017-18,42668.0,1223608.0,28.677416330739664
Gujarat,Onion,Rabi,2018-19,23847.0,673001.0,28.221621168281125
Gujarat,Onion,Rabi,2019-20,41408.0,1211977.0,29.269150888717157
Gujarat,Onion,Summer,2011-12,9200.0,258600.0,28.108695652173914
Gujarat,Onion,Summer,2012-13,2200.0,55000.0,25.0
Gujarat,Onion,Summer,2013-14,11011.0,312805.0,28.408409772046134
Gujarat,Onion,Summer,2014-15,8185.0,233276.0,28.500427611484422
Gujarat,Onion,Summer,2015-16,10091.0,286289.0,28.370726389852344
Gujarat,Onion,Summer,2016-17,13489.0,400128.0,29.663281192082437
Gujarat,Onion,Summer,2017-18,11801.0,318222.0,26.965680874502162
Gujarat,Onion,Summer,2018-19,1854.0,51062.0,27.541531823085222
Gujarat,Onion,Summer,2019-20,7176.0,204332.0,28.474358974358974
Gujarat,Onion,Whole Year,1997-98,20900.0,615900.0,29.4688995215311
Gujarat,Onion,Whole Year,1998-99,52200.0,1462100.0,28.009578544061302
Gujarat,Onion,Whole Year,1999-00,19900.0,450700.0,22.64824120603015
Gujarat,Onion,Whole Year,2000-01,6400.0,130400.0,20.375
Gujarat,Onion,Whole Year,2001-02,24200.0,638700.0,26.392561983471076
Gujarat,Onion,Whole Year,2002-03,25000.0,715400.0,28.616
Gujarat,Onion,Whole Year,2003-04,49100.0,1474600.0,30.032586558044805
Gujarat,Onion,Whole Year,2004-05,44000.0,1221300.0,27.756818181818183
Gujarat,Onion,Whole Year,2005-06,73300.0,2057500.0,28.069577080491133
Gujarat,Onion,Whole Year,2006-07,43300.0,1051800.0,24.290993071593533
Gujarat,Onion,Whole Year,2007-08,65400.0,2059200.0,31.486238532110093
Gujarat,Onion,Whole Year,2010-11,67100.0,1847900.0,27.539493293591654
Gujarat,Other Cereals,Kharif,1998-99,11300.0,4600.0,0.40707964601769914
Gujarat,Other Cereals,Kharif,1999-00,11400.0,3300.0,0.2894736842105263
Gujarat,Other Cereals,Kharif,2000-01,10500.0,2500.0,0.23809523809523808
Gujarat,Other Cereals,Kharif,2004-05,12300.0,4000.0,0.3252032520325203
Gujarat,Other Cereals,Kharif,2005-06,16600.0,4400.0,0.26506024096385544
Gujarat,Other Cereals,Kharif,2006-07,11500.0,6100.0,0.5304347826086957
Gujarat,Other Cereals,Kharif,2007-08,12200.0,7100.0,0.5819672131147541
Gujarat,Other Cereals,Kharif,2008-09,12600.0,7100.0,0.5634920634920635
Gujarat,Other Cereals,Kharif,2009-10,26300.0,15900.0,0.6045627376425855
Gujarat,Other Cereals,Kharif,2010-11,8000.0,5200.0,0.65
Gujarat,Other Cereals,Kharif,2011-12,16000.0,9500.0,0.59375
Gujarat,Other Cereals,Kharif,2012-13,12600.0,6300.0,0.5
Gujarat,Other Cereals,Kharif,2013-14,12100.0,7501.0,0.6199173553719008
Gujarat,Other Cereals,Kharif,2014-15,4207.0,2779.0,0.6605657237936772
Gujarat,Other Cereals,Kharif,2015-16,4836.0,2806.0,0.5802315963606286
Gujarat,Other Cereals,Kharif,2016-17,5937.0,3499.0,0.5893548930436248
Gujarat,Other Cereals,Kharif,2017-18,2888.0,2152.0,0.7451523545706371
Gujarat,Other Cereals,Kharif,2018-19,1300.0,1224.0,0.9415384615384615
Gujarat,Other Cereals,Kharif,2019-20,287.0,161.0,0.5609756097560976
Gujarat,Other Cereals,Rabi,2004-05,10900.0,3900.0,0.3577981651376147
Gujarat,Other Cereals,Rabi,2005-06,17200.0,21300.0,1.2383720930232558
Gujarat,Other Cereals,Rabi,2006-07,45900.0,62100.0,1.3529411764705883
Gujarat,Other Cereals,Rabi,2007-08,59800.0,79000.0,1.3210702341137124
Gujarat,Other Cereals,Rabi,2008-09,31900.0,41100.0,1.2884012539184952
Gujarat,Other Cereals,Rabi,2009-10,14100.0,18100.0,1.2836879432624113
Gujarat,Other Cereals,Rabi,2010-11,26000.0,32600.0,1.2538461538461538
Gujarat,Other Cereals,Rabi,2011-12,53300.0,53600.0,1.0056285178236397
Gujarat,Other Cereals,Rabi,2012-13,33700.0,35300.0,1.0474777448071217
Gujarat,Other Cereals,Rabi,2013-14,22171.0,24907.0,1.1234044472509133
Gujarat,Other Cereals,Rabi,2016-17,13867.0,21025.0,1.516189514675128
Gujarat,Other Kharif pulses,Kharif,1997-98,14500.0,7400.0,0.5103448275862069
Gujarat,Other Kharif pulses,Kharif,1998-99,12800.0,5700.0,0.4453125
Gujarat,Other Kharif pulses,Kharif,1999-00,12300.0,4200.0,0.34146341463414637
Gujarat,Other Kharif pulses,Kharif,2000-01,19800.0,5900.0,0.29797979797979796
Gujarat,Other Kharif pulses,Kharif,2001-02,21300.0,8900.0,0.41784037558685444
Gujarat,Other Kharif pulses,Kharif,2002-03,23300.0,12600.0,0.5407725321888412
Gujarat,Other Kharif pulses,Kharif,2003-04,19700.0,9400.0,0.47715736040609136
Gujarat,Other Kharif pulses,Kharif,2004-05,18900.0,10000.0,0.5291005291005291
Gujarat,Other Kharif pulses,Kharif,2005-06,32200.0,16900.0,0.5248447204968945
Gujarat,Other Kharif pulses,Kharif,2006-07,36800.0,22200.0,0.6032608695652174
Gujarat,Other Kharif pulses,Kharif,2007-08,27500.0,17100.0,0.6218181818181818
Gujarat,Other Kharif pulses,Kharif,2008-09,26000.0,16200.0,0.6230769230769231
Gujarat,Other Kharif pulses,Kharif,2009-10,29900.0,21900.0,0.7324414715719063
Gujarat,Other Kharif pulses,Kharif,2010-11,34000.0,17000.0,0.5
Gujarat,Other Kharif pulses,Kharif,2011-12,34200.0,16000.0,0.4678362573099415
Gujarat,Other Kharif pulses,Kharif,2012-13,18100.0,7200.0,0.39779005524861877
Gujarat,Other Kharif pulses,Kharif,2013-14,19662.0,9245.0,0.4701963177703184
Gujarat,Other Kharif pulses,Kharif,2014-15,10028.0,4600.0,0.45871559633027525
Gujarat,Other Kharif pulses,Kharif,2015-16,5517.0,2577.0,0.4671016856987493
Gujarat,Other Kharif pulses,Kharif,2016-17,4791.0,2887.0,0.6025881861824254
Gujarat,Other Kharif pulses,Kharif,2017-18,6137.0,3876.0,0.631578947368421
Gujarat,Other Kharif pulses,Kharif,2018-19,5377.0,3067.0,0.5703924121257207
Gujarat,Other Kharif pulses,Kharif,2019-20,2578.0,1592.0,0.6175329712955779
Gujarat,Other Rabi pulses,Rabi,1997-98,2900.0,1800.0,0.6206896551724138
Gujarat,Other Rabi pulses,Rabi,1998-99,2900.0,1600.0,0.5517241379310345
Gujarat,Other Rabi pulses,Rabi,1999-00,5500.0,2600.0,0.4727272727272727
Gujarat,Other Rabi pulses,Rabi,2000-01,3100.0,1500.0,0.4838709677419355
Gujarat,Other Rabi pulses,Rabi,2001-02,2400.0,1400.0,0.5833333333333334
Gujarat,Other Rabi pulses,Rabi,2002-03,4200.0,2200.0,0.5238095238095238
Gujarat,Other Rabi pulses,Rabi,2003-04,5100.0,2600.0,0.5098039215686274
Gujarat,Other Rabi pulses,Rabi,2004-05,3700.0,1500.0,0.40540540540540543
Gujarat,Other Rabi pulses,Rabi,2005-06,11300.0,10900.0,0.9646017699115044
Gujarat,Other Rabi pulses,Rabi,2006-07,11500.0,8400.0,0.7304347826086957
Gujarat,Other Rabi pulses,Rabi,2007-08,10300.0,7700.0,0.7475728155339806
Gujarat,Other Rabi pulses,Rabi,2008-09,12000.0,8500.0,0.7083333333333334
Gujarat,Other Rabi pulses,Rabi,2009-10,21200.0,15600.0,0.7358490566037735
Gujarat,Other Rabi pulses,Rabi,2010-11,24000.0,18000.0,0.75
Gujarat,Other Rabi pulses,Rabi,2011-12,24000.0,17800.0,0.7416666666666667
Gujarat,Other Rabi pulses,Rabi,2012-13,19300.0,14200.0,0.7357512953367875
Gujarat,Other Rabi pulses,Rabi,2013-14,20524.0,15932.0,0.7762619372442019
Gujarat,Other Rabi pulses,Rabi,2014-15,17474.0,13358.0,0.764450040059517
Gujarat,Other Rabi pulses,Rabi,2015-16,23418.0,17858.0,0.7625757963959348
Gujarat,Other Rabi pulses,Rabi,2016-17,21716.0,19417.0,0.8941333578927979
Gujarat,Other Rabi pulses,Rabi,2017-18,22983.0,18999.0,0.8266544837488579
Gujarat,Other Rabi pulses,Rabi,2018-19,20342.0,16224.0,0.7975616950152394
Gujarat,Other Rabi pulses,Rabi,2019-20,35625.0,26665.0,0.7484912280701754
Gujarat,Potato,Whole Year,1997-98,28500.0,623900.0,21.891228070175437
Gujarat,Potato,Whole Year,1998-99,31600.0,712900.0,22.560126582278482
Gujarat,Potato,Whole Year,1999-00,31300.0,687900.0,21.977635782747605
Gujarat,Potato,Whole Year,2000-01,32800.0,716100.0,21.83231707317073
Gujarat,Potato,Whole Year,2001-02,32300.0,802000.0,24.8297213622291
Gujarat,Potato,Whole Year,2002-03,35800.0,779700.0,21.779329608938546
Gujarat,Potato,Whole Year,2003-04,31000.0,738300.0,23.816129032258065
Gujarat,Potato,Whole Year,2004-05,39300.0,1086400.0,27.643765903307887
Gujarat,Potato,Whole Year,2005-06,44600.0,1238300.0,27.76457399103139
Gujarat,Potato,Whole Year,2006-07,51700.0,1078400.0,20.85880077369439
Gujarat,Potato,Whole Year,2007-08,72300.0,1795600.0,24.835408022130014
Gujarat,Potato,Whole Year,2008-09,55800.0,1171400.0,20.99283154121864
Gujarat,Potato,Whole Year,2009-10,47300.0,987900.0,20.88583509513742
Gujarat,Potato,Whole Year,2010-11,55100.0,1282700.0,23.279491833030853
Gujarat,Potato,Whole Year,2011-12,77800.0,1792300.0,23.03727506426735
Gujarat,Potato,Whole Year,2012-13,71500.0,1789200.0,25.023776223776224
Gujarat,Potato,Whole Year,2013-14,79304.0,2106238.0,26.559038636134368
Gujarat,Potato,Whole Year,2014-15,101663.0,2609426.0,25.667410955804964
Gujarat,Potato,Whole Year,2015-16,109188.0,2773080.0,25.397296406198482
Gujarat,Potato,Whole Year,2016-17,134306.0,3445898.0,25.657066698434917
Gujarat,Potato,Whole Year,2017-18,130397.0,3752816.0,28.77992591854107
Gujarat,Potato,Whole Year,2018-19,121449.0,3655606.0,30.099926718210938
Gujarat,Potato,Whole Year,2019-20,118353.0,3578238.0,30.23360624572254
Gujarat,Ragi,Kharif,1998-99,19700.0,20400.0,1.0355329949238579
Gujarat,Ragi,Kharif,1999-00,19400.0,21600.0,1.1134020618556701
Gujarat,Ragi,Kharif,2000-01,19600.0,14000.0,0.7142857142857143
Gujarat,Ragi,Kharif,2001-02,21000.0,21500.0,1.0238095238095237
Gujarat,Ragi,Kharif,2002-03,24600.0,15900.0,0.6463414634146342
Gujarat,Ragi,Kharif,2003-04,20800.0,24000.0,1.1538461538461537
Gujarat,Ragi,Kharif,2004-05,24300.0,25800.0,1.0617283950617284
Gujarat,Ragi,Kharif,2005-06,21700.0,23200.0,1.0691244239631337
Gujarat,Ragi,Kharif,2006-07,20400.0,20500.0,1.0049019607843137
Gujarat,Ragi,Kharif,2007-08,21700.0,18200.0,0.8387096774193549
Gujarat,Ragi,Kharif,2008-09,19400.0,20000.0,1.0309278350515463
Gujarat,Ragi,Kharif,2009-10,14700.0,11000.0,0.7482993197278912
Gujarat,Ragi,Kharif,2010-11,20000.0,13900.0,0.695
Gujarat,Ragi,Kharif,2011-12,16200.0,13300.0,0.8209876543209876
Gujarat,Ragi,Kharif,2012-13,17300.0,16500.0,0.953757225433526
Gujarat,Ragi,Kharif,2013-14,14326.0,14082.0,0.982968030154963
Gujarat,Ragi,Kharif,2014-15,20078.0,17141.0,0.8537204900886542
Gujarat,Ragi,Kharif,2015-16,19235.0,15013.0,0.7805042890564076
Gujarat,Ragi,Kharif,2016-17,19205.0,23966.0,1.2479041916167664
Gujarat,Ragi,Kharif,2017-18,11880.0,10646.0,0.8961279461279461
Gujarat,Ragi,Kharif,2018-19,11994.0,9646.0,0.8042354510588627
Gujarat,Ragi,Kharif,2019-20,11606.0,10010.0,0.8624849215922799
Gujarat,Ragi,Whole Year,1997-98,18900.0,17900.0,0.9470899470899471
Gujarat,Rapeseed &Mustard,Rabi,1997-98,345600.0,350000.0,1.0127314814814814
Gujarat,Rapeseed &Mustard,Rabi,1998-99,337000.0,466000.0,1.3827893175074184
Gujarat,Rapeseed &Mustard,Rabi,1999-00,320000.0,301000.0,0.940625
Gujarat,Rapeseed &Mustard,Rabi,2000-01,186600.0,230500.0,1.235262593783494
Gujarat,Rapeseed &Mustard,Rabi,2001-02,247100.0,292100.0,1.1821125050586807
Gujarat,Rapeseed &Mustard,Rabi,2002-03,160800.0,172200.0,1.0708955223880596
Gujarat,Rapeseed &Mustard,Rabi,2003-04,269300.0,395500.0,1.4686223542517638
Gujarat,Rapeseed &Mustard,Rabi,2004-05,291200.0,404900.0,1.3904532967032968
Gujarat,Rapeseed &Mustard,Rabi,2005-06,314400.0,491800.0,1.5642493638676844
Gujarat,Rapeseed &Mustard,Rabi,2006-07,347800.0,476100.0,1.3688901667625073
Gujarat,Rapeseed &Mustard,Rabi,2007-08,337000.0,551100.0,1.6353115727002967
Gujarat,Rapeseed &Mustard,Rabi,2008-09,293900.0,334300.0,1.1374617216740388
Gujarat,Rapeseed &Mustard,Rabi,2009-10,216000.0,341400.0,1.5805555555555555
Gujarat,Rapeseed &Mustard,Rabi,2010-11,222700.0,349200.0,1.5680287382128424
Gujarat,Rapeseed &Mustard,Rabi,2011-12,207600.0,327300.0,1.5765895953757225
Gujarat,Rapeseed &Mustard,Rabi,2012-13,212800.0,360600.0,1.6945488721804511
Gujarat,Rapeseed &Mustard,Rabi,2013-14,276999.0,488431.0,1.7632951743508098
Gujarat,Rapeseed &Mustard,Rabi,2014-15,185008.0,336641.0,1.8196023955720835
Gujarat,Rapeseed &Mustard,Rabi,2015-16,190152.0,276213.0,1.4525905591316421
Gujarat,Rapeseed &Mustard,Rabi,2016-17,200062.0,354388.0,1.7713908688306625
Gujarat,Rapeseed &Mustard,Rabi,2017-18,221289.0,400072.0,1.8079163446895237
Gujarat,Rapeseed &Mustard,Rabi,2018-19,195356.0,348435.0,1.7835899588443662
Gujarat,Rapeseed &Mustard,Rabi,2019-20,172618.0,333540.0,1.9322434508568052
Gujarat,Rice,Kharif,1998-99,622100.0,1015900.0,1.633017199807105
Gujarat,Rice,Kharif,1999-00,664400.0,984900.0,1.4823901264298616
Gujarat,Rice,Kharif,2000-01,583500.0,472600.0,0.8099400171379606
Gujarat,Rice,Kharif,2001-02,664000.0,1028700.0,1.5492469879518072
Gujarat,Rice,Kharif,2002-03,469000.0,541700.0,1.1550106609808102
Gujarat,Rice,Kharif,2003-04,651400.0,1193200.0,1.8317470064476513
Gujarat,Rice,Kharif,2004-05,665600.0,1157300.0,1.7387319711538463
Gujarat,Rice,Kharif,2005-06,648300.0,1209300.0,1.8653401203146691
Gujarat,Rice,Kharif,2006-07,655600.0,1045200.0,1.5942647956070775
Gujarat,Rice,Kharif,2007-08,726000.0,1376300.0,1.8957300275482094
Gujarat,Rice,Kharif,2008-09,722100.0,1225500.0,1.6971333610303283
Gujarat,Rice,Kharif,2009-10,658500.0,1228400.0,1.8654517843583902
Gujarat,Rice,Kharif,2010-11,728300.0,1423800.0,1.9549636138953728
Gujarat,Rice,Kharif,2011-12,751300.0,1521800.0,2.025555703447358
Gujarat,Rice,Kharif,2012-13,672000.0,1408100.0,2.095386904761905
Gujarat,Rice,Kharif,2013-14,787300.0,1672585.0,2.124457004953639
Gujarat,Rice,Kharif,2014-15,763205.0,1671308.0,2.189854626214451
Gujarat,Rice,Kharif,2015-16,741042.0,1584355.0,2.138009721446288
Gujarat,Rice,Kharif,2016-17,792207.0,1808275.0,2.282578921923184
Gujarat,Rice,Kharif,2017-18,802674.0,1749613.0,2.1797305008010723
Gujarat,Rice,Kharif,2018-19,809367.0,1819260.0,2.2477565801422594
Gujarat,Rice,Kharif,2019-20,849599.0,1821136.0,2.143524180230909
Gujarat,Rice,Summer,2000-01,3900.0,10700.0,2.7435897435897436
Gujarat,Rice,Summer,2001-02,3800.0,11500.0,3.026315789473684
Gujarat,Rice,Summer,2002-03,11800.0,54700.0,4.635593220338983
Gujarat,Rice,Summer,2003-04,23900.0,83800.0,3.506276150627615
Gujarat,Rice,Summer,2004-05,13800.0,39200.0,2.8405797101449277
Gujarat,Rice,Summer,2005-06,24600.0,74300.0,3.0203252032520327
Gujarat,Rice,Summer,2006-07,33700.0,96000.0,2.8486646884273
Gujarat,Rice,Summer,2007-08,32600.0,97900.0,3.003067484662577
Gujarat,Rice,Summer,2008-09,25200.0,77400.0,3.0714285714285716
Gujarat,Rice,Summer,2009-10,21000.0,64600.0,3.0761904761904764
Gujarat,Rice,Summer,2010-11,79800.0,242000.0,3.0325814536340854
Gujarat,Rice,Summer,2011-12,84200.0,267900.0,3.181710213776722
Gujarat,Rice,Summer,2012-13,29100.0,89200.0,3.0652920962199315
Gujarat,Rice,Summer,2013-14,33099.0,105505.0,3.187558536511677
Gujarat,Rice,Summer,2014-15,31238.0,100275.0,3.2100326525385747
Gujarat,Rice,Summer,2015-16,33140.0,107509.0,3.2440856970428484
Gujarat,Rice,Summer,2016-17,55403.0,180196.0,3.2524592531090373
Gujarat,Rice,Summer,2017-18,52616.0,140196.0,2.6645126957579444
Gujarat,Rice,Summer,2018-19,29582.0,92755.0,3.135521600973565
Gujarat,Rice,Summer,2019-20,54751.0,161497.0,2.9496630198535185
Gujarat,Rice,Whole Year,1997-98,672600.0,1042300.0,1.549658043413619
Gujarat,Sesamum,Kharif,1998-99,300700.0,136900.0,0.4552710342534087
Gujarat,Sesamum,Kharif,1999-00,300300.0,87500.0,0.2913752913752914
Gujarat,Sesamum,Kharif,2000-01,356900.0,98400.0,0.2757074810871393
Gujarat,Sesamum,Kharif,2001-02,379600.0,226500.0,0.5966807165437302
Gujarat,Sesamum,Kharif,2002-03,344100.0,123200.0,0.3580354548096484
Gujarat,Sesamum,Kharif,2003-04,402400.0,240800.0,0.5984095427435387
Gujarat,Sesamum,Kharif,2004-05,371900.0,117100.0,0.31486958859908576
Gujarat,Sesamum,Kharif,2005-06,364000.0,142500.0,0.3914835164835165
Gujarat,Sesamum,Kharif,2006-07,328800.0,105000.0,0.3193430656934307
Gujarat,Sesamum,Kharif,2007-08,299600.0,140900.0,0.47029372496662214
Gujarat,Sesamum,Kharif,2008-09,238500.0,84900.0,0.3559748427672956
Gujarat,Sesamum,Kharif,2009-10,225900.0,80400.0,0.3559096945551129
Gujarat,Sesamum,Kharif,2010-11,213800.0,88500.0,0.4139382600561272
Gujarat,Sesamum,Kharif,2011-12,175700.0,81500.0,0.4638588503130336
Gujarat,Sesamum,Kharif,2012-13,125700.0,42200.0,0.33571996817820204
Gujarat,Sesamum,Kharif,2013-14,109072.0,57003.0,0.5226180871351034
Gujarat,Sesamum,Kharif,2014-15,137247.0,79371.0,0.578307722573171
Gujarat,Sesamum,Kharif,2015-16,152565.0,55293.0,0.3624225739848589
Gujarat,Sesamum,Kharif,2016-17,128910.0,68799.0,0.5336979287875262
Gujarat,Sesamum,Kharif,2017-18,107763.0,65229.0,0.6053005205868434
Gujarat,Sesamum,Kharif,2018-19,80106.0,37025.0,0.462200084887524
Gujarat,Sesamum,Kharif,2019-20,109958.0,56270.0,0.5117408465050292
Gujarat,Sesamum,Summer,2010-11,75200.0,38100.0,0.5066489361702128
Gujarat,Sesamum,Summer,2011-12,70800.0,34500.0,0.4872881355932203
Gujarat,Sesamum,Summer,2012-13,3600.0,195500.0,54.30555555555556
