State,Crop,Season,Year,Area,Production,Yield
Andhra Pradesh,Coconut,Whole Year,2009-10,104541.0,1149330226.0,10994.061908724807
Andhra Pradesh,Coconut,Whole Year,2010-11,103945.0,1220268000.0,11739.554572129491
Andhra Pradesh,Coconut,Whole Year,2011-12,103967.0,1430853709.0,13762.575711523848
Andhra Pradesh,Coconut,Whole Year,2012-13,99825.0,1670659000.0,16735.87778612572
Andhra Pradesh,Coconut,Whole Year,2013-14,99066.0,1610007000.0,16251.862394767126
Andhra Pradesh,Coconut,Whole Year,2014-15,99097.0,1447900000.0,14610.936758933167
Andhra Pradesh,Coconut,Whole Year,2015-16,103948.0,1427745000.0,13735.18490014238
Andhra Pradesh,Coconut,Whole Year,2016-17,102548.0,1415300000.0,13801.341810664275
Andhra Pradesh,Coconut,Whole Year,2017-18,103968.0,1397800000.0,13444.521391197291
Andhra Pradesh,Coconut,Whole Year,2018-19,104530.0,1571100000.0,15030.134889505405
Andhra Pradesh,Coconut,Whole Year,2019-20,104027.0,1912224000.0,18381.996981552868
Andhra Pradesh,Coriander,Kharif,2012-13,1109.0,717.0,0.6465284039675383
Andhra Pradesh,Coriander,Kharif,2013-14,517.0,333.0,0.6441005802707931
Andhra Pradesh,Coriander,Kharif,2014-15,164.0,85.0,0.5182926829268293
Andhra Pradesh,Coriander,Kharif,2015-16,36.0,13.0,0.3611111111111111
Andhra Pradesh,Coriander,Kharif,2016-17,8.0,1.0,0.125
Andhra Pradesh,Coriander,Rabi,2012-13,7528.0,4534.0,0.6022848034006376
Andhra Pradesh,Coriander,Rabi,2013-14,7934.0,4685.0,0.5904965969246282
Andhra Pradesh,Coriander,Rabi,2014-15,40014.0,20699.0,0.5172939471185085
Andhra Pradesh,Coriander,Rabi,2015-16,25302.0,10385.0,0.4104418623033752
Andhra Pradesh,Coriander,Rabi,2016-17,4295.0,2368.0,0.5513387660069848
Andhra Pradesh,Coriander,Rabi,2017-18,2584.0,1637.0,0.6335139318885449
Andhra Pradesh,Coriander,Rabi,2018-19,1569.0,360.0,0.2294455066921606
Andhra Pradesh,Coriander,Rabi,2019-20,1119.0,553.0,0.4941912421805183
Andhra Pradesh,Coriander,Whole Year,2000-01,58441.0,19993.0,0.34210571345459523
Andhra Pradesh,Coriander,Whole Year,2001-02,57913.0,22711.0,0.3921572013192202
Andhra Pradesh,Coriander,Whole Year,2002-03,45073.0,13721.0,0.30441727863687795
